hs1	24857564	24857564	hs1	71178002	71178002
hs1	31521309	31521309	hs1	74427859	74427859
hs1	64713479	64713479	hs1	77985299	77985299
hs1	72082014	72082014	hs1	76271723	76271723
hs1	74753321	74753321	hs1	76624320	76624320
hs16	7994570	7994570	hs16	29316515	29316515
hs16	7994591	7994591	hs16	29316512	29316512
hs4	67289175	67289175	hs4	111646499	111646499
hs4	67317920	67317920	hs4	83880023	83880023
hs4	72432115	72432115	hs4	88931014	88931014
hs4	88906190	88906190	hs4	111776231	111776231
hs4	88913978	88913978	hs4	107771917	107771917
hs4	89590368	89590368	hs4	111646563	111646563
hs4	97074233	97074233	hs4	112251781	112251781
hs8	37631970	37631970	hs8	41489577	41489577
hs8	39096271	39096271	hs8	42785352	42785352
hs8	39099226	39099226	hs8	41475274	41475274
hs8	41922369	41922369	hs8	54412854	54412854
hs1	29602015	29602015	hs3	105457106	105457106
hs10	4156343	4156343	hs11	72703519	72703519
hs11	72661348	72661348	hs17	49654441	49654441
hs11	72705927	72705927	hs17	50429298	50429298
hs11	73125612	73125612	hs17	49645132	49645132
hs15	40065551	40065551	hs17	49652736	49652736
hs4	66772755	66772755	hs8	39096308	39096308
hs4	66772819	66772819	hs10	4174195	4174195
hs4	66779818	66779818	hs8	41915640	41915640
hs4	66781853	66781853	hs10	4174137	4174137
hs4	66785067	66785067	hs15	40063677	40063677
hs4	66798050	66798050	hs11	72703851	72703851
hs4	71738963	71738963	hs10	3120813	3120813
hs4	71774657	71774657	hs8	39101605	39101605
hs4	72423151	72423151	hs8	41923231	41923231
hs4	72425106	72425106	hs8	41933531	41933531
hs4	72426883	72426883	hs8	41937354	41937354
hs4	72432092	72432092	hs8	51505738	51505738
hs4	72444745	72444745	hs8	51502146	51502146
hs4	83908244	83908244	hs8	41926955	41926955
hs4	84646385	84646385	hs15	38286911	38286911
hs4	88906157	88906157	hs17	29451522	29451522
hs4	88913979	88913979	hs11	72702211	72702211
hs4	89604384	89604384	hs15	40079965	40079965
hs4	96737394	96737394	hs8	39107165	39107165
hs4	96742506	96742506	hs17	49655966	49655966
hs4	97053251	97053251	hs8	54857473	54857473
hs4	107755455	107755455	hs8	37628061	37628061
hs4	111644370	111644370	hs17	50416319	50416319
hs4	111655268	111655268	hs15	40080018	40080018
hs4	111655306	111655306	hs8	54888836	54888836
hs4	111776231	111776231	hs15	40065527	40065527
hs4	111796771	111796771	hs8	37627559	37627559
hs4	112228004	112228004	hs8	42782136	42782136
hs4	112260429	112260429	hs8	41929696	41929696
hs4	112266780	112266780	hs8	37628116	37628116
hs4	112322302	112322302	hs11	72694818	72694818
hs4	112329559	112329559	hs17	49641143	49641143
hs4	112339563	112339563	hs8	54879379	54879379
hs4	112358149	112358149	hs11	72692115	72692115
hs4	186436639	186436639	hs10	3129249	3129249
hs4	186449196	186449196	hs8	37627134	37627134
hs4	186986490	186986490	hs17	29436365	29436365
hs8	38896964	38896964	hs17	50430058	50430058
hs8	41478573	41478573	hs17	50428428	50428428
hs8	41491365	41491365	hs11	73100391	73100391
hs8	41915600	41915600	hs17	50428375	50428375
hs8	41921664	41921664	hs17	30747393	30747393
hs8	41929359	41929359	hs17	29437125	29437125
hs8	51505669	51505669	hs17	30747358	30747358
